"SourceKey","Sentiment","Sector","Date"
12785,"none","energy",2020-07-21
12786,"none","energy",2020-07-21
12787,"none","energy",2020-07-21
12788,"none","energy",2020-07-21
12789,"none","energy",2020-07-20
12790,"none","energy",2020-07-20
12791,"none","energy",2020-07-20
12792,"none","energy",2020-07-20
12793,"none","energy",2020-07-17
12794,"bearish","energy",2020-07-17
12795,"bearish","energy",2020-07-17
12796,"none","energy",2020-07-17
12797,"none","energy",2020-07-16
12798,"none","energy",2020-07-16
12799,"none","energy",2020-07-16
12800,"none","energy",2020-07-16
12801,"none","energy",2020-07-15
12802,"none","energy",2020-07-15
12803,"bullish","energy",2020-07-15
12804,"none","energy",2020-07-15
12805,"none","energy",2020-07-14
12806,"none","energy",2020-07-14
12807,"none","energy",2020-07-14
12808,"none","energy",2020-07-14
12809,"none","energy",2020-07-13
12810,"none","energy",2020-07-13
12811,"none","energy",2020-07-13
12812,"none","energy",2020-07-13
12813,"none","energy",2020-07-24
12814,"none","energy",2020-07-24
12815,"none","energy",2020-07-24
12816,"none","energy",2020-07-23
12817,"none","energy",2020-07-23
12818,"none","energy",2020-07-23
12819,"none","energy",2020-07-22
12820,"none","energy",2020-07-22
12821,"none","energy",2020-07-22
12822,"none","energy",2020-07-21
12823,"none","energy",2020-07-21
12824,"none","energy",2020-07-21
12825,"none","energy",2020-07-20
12826,"none","energy",2020-07-20
12827,"none","energy",2020-07-20
12828,"none","energy",2020-07-20
12829,"none","energy",2020-07-17
12830,"none","energy",2020-07-17
12831,"none","energy",2020-07-17
12832,"none","energy",2020-07-17
12833,"none","energy",2020-07-16
12834,"none","energy",2020-07-16
12835,"none","energy",2020-07-15
12836,"none","energy",2020-07-15
12837,"none","energy",2020-07-14
12838,"none","energy",2020-07-14
